0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:37:04 +0600] "GET /Ebook-App/cart?bid=5&&uid=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:37:04 +0600] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 8150
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:37:06 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 4462
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:37:08 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 4462
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:37:11 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 4462
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:48:57 +0600] "GET /Ebook-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:48:57 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4744
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:49:01 +0600] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 5068
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:49:03 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4657
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:49:04 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 4374
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:49:06 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 4374
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:49:10 +0600] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 7714
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:49:12 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4657
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:49:16 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 4374
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:50:22 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 500 2458
